ID,Number of days with 0 activities,Average Activities Per Session,Total Number of Logins,Time Test #1 A,Time Test #1 B,Time Test #2 Part #1 A,Time Test #2 Part #1 B,Time Test #2 Part #2 A,Time Test #2 Part #2 B,Time Test #3 A,Time Test #3 B,Time Test #4 A,Time Test #4 B,Time Test #5 A,Time Test #5 B,Time Test #6 A,Time Test #6 B,Time Test #7 A,Time Test #7 B,Average time taking tests in minutes,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Final A Time,Number of late ASR,Number of ASRs,Number of Test B,Number of optinal assignments,Online meetings attended,Procedures Quiz,Surveys,CyberRat Assignments,days between test 1 available and submission,days between test 2 available and submission,days between test 3 available and submission,days between test 4 available and submission,days between test 5 available and submission,days between test 6 available and submission,days between test 7 available and submission,Average number of activites accessed before each test,ASR1,ASR2a,ASR2b,ASR2c,ASR3,ASR4,ASR5,ASR6,ASR7a,ASR7b, Num_of_activities of Study Guide Materials, G1, G2, G3, G4, G5, G6, G7, Number of Studying Supplemental Material Activities, Number of Reviewed Activity,Overall Grade,Above Average?
12,50,6.943820225,93,49.93333333,59.8,103.2166667,-,59.33333333,1363.3,-,93.96666667,1350.533333,61.78333333,80.45,-,69.31666667,-,1360.95,-,422.9621212,2,0,1,2,0,2,0,0,2,0,1,2,0,2,0,0,92,0,10,4,0,12,2,2,9,4,4,5,4,4,4,1,84,5,6,6,16,8,8,13,13,11,11,96,11,20,10,16,14,10,15,26,35,1005.31,Y
13,28,10.56179775,135,27.75,18.81666667,53.68333333,-,49.51666667,61.86666667,85.05,66.25,89.51666667,-,44.08333333,51.4,16.46666667,-,42.9,-,50.60833333,0,4,4,0,0,0,4,4,0,4,4,0,0,0,4,4,67,1,10,4,0,0,2,5,12,3,3,3,3,3,3,3,114,5,4,4,8,4,9,1,2,2,2,45,1,13,5,13,4,4,5,21,69,975.5,Y
14,29,10.20224719,154,32.45,37.06666667,62,-,43,56.28333333,68.06666667,82.66666667,83.98333333,-,31.85,-,18.4,20.21666667,52.18333333,-,49.01388889,0,0,0,0,4,0,2,1,0,0,0,0,4,0,2,1,96,0,10,3,0,10,2,4,3,1,2,3,2,2,1,2,121,14,10,10,18,12,18,11,10,8,8,78,4,24,8,17,8,5,12,1,34,990.02,Y
15,32,9.179775281,125,13.86666667,12.95,21.78333333,18.85,16.06666667,14.88333333,21.15,30.75,19.91666667,24.83333333,20.1,21.96666667,11.23333333,5.516666667,19.88333333,24.15,18.61875,0,0,2,0,0,1,1,2,0,0,2,0,0,1,1,2,85,0,10,5,0,5,2,4,2,0,0,0,0,1,0,1,95,6,7,8,15,10,16,10,9,10,10,19,2,12,1,1,1,1,1,33,79,983.5,Y
16,41,7.943820225,84,24.51666667,15.38333333,22.45,-,21.25,11.76666667,33.33333333,23.9,27.8,-,17.65,19.76666667,18.06666667,-,20.91666667,-,21.4,1,2,2,2,2,4,0,4,1,2,2,2,2,4,0,4,90,1,10,7,0,2,3,4,1,0,0,0,1,0,0,1,99,4,10,10,14,8,16,9,9,9,9,52,1,14,7,10,4,4,12,67,50,1033.02,Y
17,45,8.202247191,113,16.18333333,-,20.4,18.68333333,25.33333333,16.05,28.5,-,34.11666667,-,22.88333333,-,11.66666667,6.85,20.03333333,18.03333333,19.89444444,2,2,2,3,0,3,1,0,2,2,2,3,0,3,1,0,70,1,10,6,0,7,2,5,2,2,4,4,4,4,4,4,92,8,5,5,12,5,8,4,4,7,7,73,1,20,7,20,8,7,10,27,60,962.91,Y
18,51,6.101123596,78,32.16666667,-,1396.916667,-,26.43333333,-,41.08333333,-,25.56666667,30.31666667,19.23333333,-,12.53333333,10.05,64.6,1414.6,279.4090909,3,0,4,0,4,0,3,4,3,0,4,0,4,0,3,4,67,1,10,5,0,5,2,3,0,2,2,3,4,3,2,0,74,9,3,4,13,6,5,6,7,6,6,73,1,23,13,14,10,5,7,27,62,840.61,N
19,58,6.528089888,65,19.81666667,9.1,23.4,-,-,14.4,16.53333333,-,19.78333333,-,13.8,25.25,13.06666667,4.716666667,14.65,15.81666667,15.86111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,10,0,0,1,3,3,0,0,0,1,1,1,1,2,77,5,2,2,9,2,9,2,0,2,2,74,5,17,13,17,8,9,5,13,39,995.77,Y
20,32,14.17977528,123,16.55,21.88333333,22.8,15.61666667,18.61666667,9.35,22.06666667,23.75,34.9,27.7,13.95,20.93333333,12.4,-,21.73333333,25.45,20.51333333,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,81,1,10,2,0,3,2,3,9,1,2,2,2,4,2,4,139,11,7,11,18,11,18,11,11,10,11,77,2,28,10,11,6,9,11,13,44,921.83,Y
21,49,5.966292135,86,15.93333333,7.3,18.16666667,11.08333333,8.483333333,5.366666667,23.71666667,20.21666667,26.26666667,-,13.36666667,18.1,5.766666667,3.45,11.15,-,13.4547619,4,4,4,5,0,5,4,4,4,4,4,5,0,5,4,4,98,1,10,7,0,1,2,2,0,0,0,0,2,3,1,4,67,6,5,3,11,3,4,7,7,4,4,60,5,17,8,13,4,6,7,3,36,872.18,N
22,51,6.97752809,65,17.43333333,16.7,40.51666667,-,21.13333333,18.76666667,33.2,-,22.88333333,35.88333333,30.23333333,-,17.7,12.9,28.98333333,56.2,27.11794872,0,0,3,3,2,3,0,4,0,0,3,3,2,3,0,4,0,1,10,7,0,0,3,4,7,2,4,4,4,4,3,3,67,4,2,2,8,3,15,1,1,2,2,46,1,14,8,7,3,6,7,13,51,986.94,Y
23,31,10.16853933,124,32.08333333,-,25.18333333,-,26.13333333,-,34.18333333,-,52.46666667,-,24.11666667,-,17.51666667,-,28.03333333,-,29.96458333,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,91,1,10,8,0,10,3,8,6,2,3,2,2,3,3,2,113,8,2,5,12,5,3,4,5,3,5,131,2,41,13,28,16,12,19,72,100,974.75,Y
24,73,3.696629213,33,21.21666667,16.1,30.2,34.41666667,14.6,1.25,100.4333333,-,28.81666667,1.35,21.63333333,24.33333333,10.33333333,0.916666667,30.58333333,1.516666667,22.51333333,4,4,0,3,0,0,2,0,4,4,0,3,0,0,2,0,75,1,10,4,0,3,2,3,1,4,4,4,4,4,4,4,51,11,4,,,,,,,,,18,9,9,0,0,0,0,0,10,17,940.63,Y
25,47,7.651685393,75,24.3,13.71666667,28.3,-,19.15,-,39.83333333,-,42.93333333,12.55,21.46666667,-,11.16666667,-,1411.65,-,162.5066667,0,4,46,2,25,18,11,4,0,4,46,2,25,18,11,4,123,1,10,8,1,6,3,5,0,3,3,3,4,3,3,3,74,9,2,5,9,7,15,9,5,10,10,32,10,10,3,2,2,3,2,16,34,1001.2,Y
26,50,8.505617978,80,20.35,25.13333333,29.38333333,36.51666667,36.66666667,18.75,26.45,1415.766667,71.08333333,-,24.58333333,1416.566667,9.05,13.03333333,22.41666667,39.28333333,213.6688889,12,12,11,22,23,16,10,4,12,12,11,22,23,16,10,4,107,7,10,8,0,0,7,4,8,3,4,4,4,4,4,3,94,5,10,10,16,11,7,11,10,10,10,48,4,15,5,10,5,4,5,23,48,801.57,N
27,41,7,96,14.68333333,32.38333333,26.45,17.78333333,16,7.283333333,15.71666667,23.18333333,19.7,25.91666667,9.383333333,14.21666667,5.95,-,18.7,13,17.35666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,5,2,3,3,0,0,3,2,3,3,4,83,5,9,9,12,5,5,5,5,5,5,101,5,32,14,23,9,7,11,21,51,946.68,Y
28,35,8.314606742,99,20.23333333,9.85,23.76666667,20.4,14.75,1428.366667,25.98333333,38.7,1410.733333,37.66666667,21.1,28.6,5.766666667,6.633333333,31.25,25.45,196.828125,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,81,1,10,8,0,7,2,4,0,2,1,3,2,3,2,3,98,14,11,11,18,11,18,11,11,11,11,7,2,0,0,0,0,0,5,2,33,822.24,N
29,53,9.93258427,65,17.95,13.5,29.46666667,29.01666667,23.96666667,-,28,52.75,19.61666667,-,18.63333333,-,9.933333333,7.716666667,23.25,-,22.81666667,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,3,123,1,10,7,0,13,4,3,16,3,4,3,4,3,2,0,99,12,6,9,16,9,9,9,10,10,10,54,3,15,10,14,3,2,7,25,58,857.44,N
30,33,13.80898876,135,15.71666667,25.65,37.8,23.06666667,25.55,14.48333333,46.46666667,47.78333333,40.73333333,32.61666667,28.45,29.35,16.21666667,8.133333333,38.26666667,23.73333333,28.37604167,1,1,0,1,0,2,1,0,1,1,0,1,0,2,1,0,162,1,10,5,0,4,2,5,28,0,0,1,1,3,2,0,135,13,10,10,17,11,10,11,11,9,9,84,9,25,7,8,10,10,15,49,48,980.46,Y
31,53,8.573033708,93,-,1413.866667,-,73.01666667,-,18.05,-,34.23333333,-,42.38333333,-,51.2,-,26.45,61.43333333,47.41666667,196.45,0,3,0,3,0,4,1,3,0,3,0,3,0,4,1,3,0,1,10,6,0,1,3,5,6,-20,12,-6,23,16,10,4,81,3,5,5,11,5,16,9,10,8,9,56,3,10,7,13,5,7,11,10,45,1001.46,Y
32,28,9.97752809,142,66.61666667,-,119.9,76.7,90.06666667,-,73.2,-,72.2,-,84.53333333,-,64.11666667,-,88.71666667,-,81.78333333,4,3,0,2,0,0,0,1,4,3,0,2,0,0,0,1,87,0,10,4,0,5,3,11,12,0,1,0,0,0,0,0,117,5,6,8,16,10,16,10,9,8,10,88,9,30,11,14,6,7,11,18,54,942.78,Y
33,58,4.157303371,52,27.8,27.01666667,57.01666667,63.21666667,43.3,19.41666667,53.78333333,61.61666667,38.61666667,68.43333333,50.96666667,55.56666667,48.2,30.25,71.91666667,58.78333333,48.49375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,10,1,0,0,1,4,0,3,4,3,3,4,4,4,53,9,4,9,18,9,18,10,6,2,6,21,4,5,1,6,0,3,2,85,67,969.32,Y
34,26,9.775280899,142,22.9,34.08333333,44.11666667,50.7,35.38333333,28.36666667,54.65,-,72.33333333,64.96666667,42.38333333,70.41666667,25.93333333,15.9,55.33333333,33.98333333,43.43,3,3,4,4,4,2,4,4,3,3,4,4,4,2,4,4,97,1,10,8,0,0,4,5,0,1,1,1,1,1,2,1,101,4,5,5,13,7,15,10,9,7,7,42,5,11,6,4,4,8,4,70,101,920.42,Y
35,43,7.101123596,91,25.03333333,18.06666667,30.55,26.63333333,23.7,-,24.05,17.13333333,31.41666667,-,19.36666667,32.23333333,9.7,-,16.31666667,17.08333333,22.40641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,10,0,0,1,2,4,0,2,4,4,4,4,4,4,72,5,3,3,8,3,10,1,1,4,4,11,5,2,2,2,0,0,0,69,60,870.56,N
36,37,8.898876404,124,33.8,25.86666667,50.38333333,45.5,28.1,-,52.13333333,62.15,69.95,-,22.63333333,41.38333333,14.51666667,16.01666667,26.5,-,37.61025641,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,70,1,10,2,0,4,3,8,6,1,1,1,2,2,1,1,92,14,17,18,25,28,36,22,17,10,11,84,10,15,8,9,8,12,22,3,55,902.77,Y
37,44,8.494382022,78,14.06666667,9.183333333,18.08333333,17.88333333,9.566666667,-,26.85,20.58333333,15.85,-,13.8,19.13333333,7.75,4.583333333,16.85,15.36666667,14.96785714,0,4,4,31,20,17,11,4,0,4,4,31,20,17,11,4,66,4,10,7,0,9,3,6,15,0,0,3,3,3,1,3,101,6,2,2,9,-22,-29,2,1,1,1,53,4,20,4,9,5,3,8,32,34,807.11,N
38,22,9.606741573,114,20.9,13.65,22.56666667,22.25,22.78333333,-,34.41666667,43,33.03333333,-,24.18333333,-,16.55,-,30.78333333,24.16666667,25.69027778,4,12,5,4,0,4,4,4,4,12,5,4,0,4,4,4,66,2,10,7,0,3,2,4,5,1,1,1,2,2,3,0,95,8,11,11,11,10,17,11,11,11,11,14,1,4,0,5,1,1,2,1,34,863.59,N
39,48,7.078651685,76,26.86666667,-,28.45,-,11.46666667,-,25.73333333,-,33.73333333,-,20.05,24.5,11.71666667,-,18.13333333,-,22.29444444,4,3,3,4,4,2,2,2,4,3,3,4,4,2,2,2,115,1,10,8,0,0,2,4,3,2,2,2,0,0,1,3,77,6,7,7,15,7,8,5,6,6,6,97,2,17,13,31,12,12,10,18,69,982.88,Y
40,29,13.33707865,175,40.13333333,16.71666667,38.83333333,33.23333333,22.8,19.76666667,35.9,34.56666667,48.26666667,32.76666667,21.56666667,51.01666667,12.61666667,10.76666667,24.13333333,28.71666667,29.4875,2,3,0,4,0,3,0,0,2,3,0,4,0,3,0,0,66,1,10,4,0,5,2,3,14,2,2,3,2,2,3,3,147,7,2,2,12,4,13,10,8,8,9,74,4,18,10,13,9,11,9,1,44,942.49,Y
41,53,4.764044944,68,18.11666667,-,28.85,-,17.88333333,-,25.16666667,-,24.93333333,-,30.26666667,-,9.883333333,-,-,-,22.15714286,0,0,2,3,0,0,0,1,0,0,2,3,0,0,0,1,63,0,10,5,0,3,2,3,0,2,2,2,3,2,0,8,62,6,2,2,12,5,15,8,8,8,8,41,4,13,5,13,4,1,1,42,81,1038.79,Y
42,47,6.415730337,78,11.53333333,-,20.2,-,15,16.46666667,19.76666667,-,23.93333333,-,1426.533333,-,8.883333333,5.483333333,24.06666667,-,157.1866667,3,0,0,3,3,3,3,4,3,0,0,3,3,3,3,4,99,0,10,6,0,1,3,7,2,3,3,4,3,3,4,4,78,0,3,5,14,10,5,10,8,10,10,97,12,33,13,22,6,3,8,16,37,885.93,N
43,46,6.101123596,71,27.41666667,-,46.81666667,24.91666667,28.45,1.166666667,-,1409.966667,-,38.91666667,-,42.53333333,-,12.31666667,23.75,23.78333333,152.730303,4,4,46,0,0,0,11,4,4,4,46,0,0,0,11,4,58,1,10,5,0,13,3,4,5,2,4,2,20,17,11,4,72,5,2,2,9,4,9,3,2,3,3,55,2,15,5,20,5,6,2,57,62,716.77,N
44,52,10.41573034,119,13.33333333,11.81666667,-,1408.216667,-,28.23333333,29.55,20.85,30.01666667,-,11.8,25.55,10.93333333,8.1,21.2,20.9,126.1923077,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,56,1,10,1,0,4,1,3,2,4,5,4,4,4,4,4,91,9,6,6,14,8,13,7,8,5,9,22,1,8,5,2,2,1,3,42,41,999.63,Y
45,34,7.662921348,136,18.6,15.83333333,30.86666667,27.5,21.08333333,13.25,32.03333333,41.01666667,24.73333333,40.56666667,18.71666667,29.68333333,13.26666667,9.616666667,22.46666667,25.16666667,24.025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,98,1,10,8,0,3,3,4,5,2,2,4,4,2,2,2,86,11,8,8,15,8,15,8,8,8,8,103,2,33,16,20,10,11,11,71,91,852.59,N
46,44,6.95505618,81,16.51666667,16.4,31.18333333,21.16666667,17.28333333,-,31.5,31.61666667,34.3,39.85,27.75,40.66666667,22.38333333,11.41666667,34.25,35.46666667,27.45,4,4,4,0,0,4,0,0,4,4,4,0,0,4,0,0,0,1,10,4,0,10,3,4,1,0,0,2,0,2,2,4,72,2,9,10,17,11,11,8,11,8,11,91,3,34,8,19,9,6,12,1,72,941.21,Y
47,50,4.831460674,65,13.53333333,10.66666667,22.38333333,15.48333333,13.13333333,-,16.95,19.66666667,17.66666667,-,17.21666667,21.58333333,5.916666667,-,15.43333333,-,15.80277778,3,4,4,4,3,3,4,0,3,4,4,4,3,3,4,0,121,1,10,8,6,0,2,5,1,0,1,1,2,2,1,1,61,8,5,5,15,9,17,6,7,10,10,51,2,9,8,11,7,5,9,3,26,998.81,Y
48,33,12.2247191,157,19.96666667,-,32.75,26.06666667,23.58333333,13.75,18.7,16.73333333,17.83333333,-,13.83333333,-,5.966666667,5.433333333,18.1,21.6,18.02435897,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,53,1,10,3,0,5,2,3,6,0,0,0,0,1,0,1,134,7,9,9,16,10,9,10,10,11,11,60,3,18,7,13,7,6,6,8,33,903.52,Y
49,53,6.101123596,52,36.08333333,24.68333333,63.21666667,-,53.81666667,-,84.41666667,41.23333333,95.56666667,62.93333333,39.01666667,40.78333333,39.33333333,20.01666667,78.33333333,102.6833333,55.86547619,1,3,2,4,4,4,2,2,1,3,2,4,4,4,2,2,72,1,10,8,0,13,3,5,6,2,4,3,3,2,3,3,68,9,10,11,18,37,33,24,18,11,11,49,7,18,8,5,8,3,0,6,34,954.8,Y
50,56,7.460674157,55,13.68333333,14.3,24.13333333,20.21666667,13.38333333,17.81666667,29.43333333,-,16.2,-,18.98333333,-,11.28333333,10.7,14.96666667,17.61666667,17.13205128,4,0,5,5,5,4,4,0,4,0,5,5,5,4,4,0,87,1,10,6,0,1,2,5,3,4,4,4,4,2,3,4,77,14,8,18,18,11,18,11,11,9,11,66,2,18,8,17,7,6,8,33,90,866.92,N
51,47,7.842696629,89,20.36666667,-,30.18333333,-,15.85,-,19.66666667,16.73333333,18.76666667,-,14.06666667,-,7.033333333,-,19.38333333,-,18.00555556,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,58,1,10,8,0,3,3,5,6,1,2,3,3,3,2,2,93,9,6,6,12,6,13,6,5,5,6,71,2,17,8,12,10,8,14,3,47,947.33,Y
52,29,13.29213483,157,49.73333333,19.83333333,63.81666667,64.35,47.46666667,53.85,90.73333333,77.81666667,96,104.2166667,101.6166667,65.93333333,65.3,36.18333333,88,60.01666667,67.80416667,2,3,0,0,4,4,0,0,2,3,0,0,4,4,0,0,109,0,10,4,0,6,2,5,21,3,4,4,4,4,4,4,134,8,5,5,6,3,10,9,9,5,9,45,6,8,4,10,6,4,7,26,52,905.75,Y
53,29,10.14606742,148,27.48333333,30.86666667,42.15,39.53333333,41.13333333,39.43333333,73.05,-,76.93333333,-,27.28333333,55.98333333,31.43333333,-,44.05,-,44.11111111,4,3,4,4,0,3,3,0,4,3,4,4,0,3,3,0,103,1,10,6,0,4,4,4,11,3,3,3,2,1,2,2,103,9,6,6,13,8,7,9,8,4,4,30,3,9,4,6,6,1,1,1,36,886.99,N
54,30,14.86516854,138,21.28333333,13.86666667,35.3,60.05,30.23333333,22.76666667,46.28333333,43.06666667,68.01666667,32.9,28.18333333,38.71666667,13.18333333,8.75,30.28333333,39.06666667,33.246875,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,102,1,10,2,0,7,4,5,68,3,3,3,3,3,4,0,149,2,4,4,8,2,8,5,2,4,4,110,6,31,9,23,13,9,19,41,54,891.73,N
55,39,7.573033708,88,12.15,-,21.91666667,21.16666667,15.31666667,-,18.21666667,-,15,20.65,10.51666667,-,5.783333333,-,14.33333333,16.2,15.56818182,3,3,3,3,0,0,3,0,3,3,3,3,0,0,3,0,0,1,10,5,0,3,3,5,5,1,1,0,1,1,1,1,85,8,10,10,12,4,3,4,3,4,4,38,4,13,4,6,2,6,3,6,51,783.27,N
56,39,7.865168539,93,45.88333333,31.68333333,72.16666667,37.88333333,73.33333333,38.53333333,1352.216667,68.78333333,88.58333333,30.96666667,69.65,48.16666667,20.65,12.38333333,49.13333333,63.36666667,131.4614583,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,97,1,10,1,0,3,3,4,3,1,1,3,4,4,2,2,81,12,11,11,16,11,10,9,10,11,11,50,5,9,9,8,5,12,2,21,50,992.19,Y
57,28,9.764044944,133,26.8,19.05,62.76666667,76.25,62.36666667,54.78333333,84.36666667,97.38333333,74.05,58.71666667,34.16666667,57.8,52.48333333,18.26666667,70.76666667,53.45,56.46666667,3,4,3,2,0,3,0,0,3,4,3,2,0,3,0,0,160,0,10,5,0,0,4,5,8,3,4,4,4,3,4,3,112,12,8,8,16,9,16,7,5,11,11,54,1,15,8,11,9,4,6,7,26,915.02,Y
58,36,8.573033708,112,43.7,27.88333333,37.68333333,-,32.96666667,1424.466667,48.35,1411.816667,1391.233333,59.4,33.05,43.91666667,29.06666667,10.7,1415.2,-,429.2452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,10,0,0,9,0,5,1,4,4,4,4,4,4,4,83,5,-1,6,13,8,16,8,9,5,8,24,2,4,3,8,1,2,4,43,57,932.62,Y
59,32,7.617977528,121,15.06666667,14.71666667,19.58333333,18.45,10.03333333,10.38333333,26.25,20.61666667,17.51666667,1420.483333,13.65,20.41666667,7.816666667,6.733333333,17.3,18.36666667,103.5864583,2,4,0,4,4,4,0,0,2,4,0,4,4,4,0,0,81,1,10,5,0,14,3,4,5,4,4,4,4,4,4,3,93,8,9,9,9,11,11,10,11,11,11,130,18,37,15,39,13,0,8,49,67,902.48,Y
60,56,6.438202247,70,33.38333333,17.98333333,41.38333333,44.06666667,38.55,-,62.73333333,-,60.03333333,59,42.31666667,49.4,30.41666667,-,67.05,-,45.52638889,4,0,0,4,4,4,0,0,4,0,0,4,4,4,0,0,83,2,10,4,0,1,2,4,1,1,1,2,3,4,3,3,70,13,10,10,17,10,16,4,9,9,9,84,4,23,11,15,10,10,11,4,90,902.86,Y
61,23,10.37078652,137,19.15,24.6,26.4,30.08333333,30.9,20.56666667,33.8,26.78333333,25.73333333,-,23.1,29.33333333,1426.05,10.26666667,32.1,-,125.6333333,0,0,2,2,2,4,2,3,0,0,2,2,2,4,2,3,91,1,10,6,4,4,0,5,6,3,2,4,2,2,2,3,120,3,4,9,14,9,5,7,7,5,5,96,11,24,12,18,12,9,10,64,115,904.05,Y
62,27,8.853932584,158,25.95,15.1,1329.8,23.06666667,31.9,-,1377.983333,-,36.81666667,-,50.61666667,-,28.46666667,-,57.76666667,-,297.7466667,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,146,1,10,8,0,1,5,5,6,4,3,3,4,4,4,4,106,8,2,4,4,5,4,5,5,3,4,58,1,13,18,15,2,4,5,15,54,937.74,Y
